항목명,계산 방법
전설 카드팩 (확률),전설~희귀팩의 마리샵 가치를 토대로 역산
고결한 혼돈의 돌(무기) (품질 90기준),품질 90 기준으로 업그레이드 성공에 들어가는 기대비용
고결한 혼돈의 돌(무기) (품질 95기준),품질 95 기준으로 업그레이드 성공에 들어가는 기대비용
고결한 혼돈의 돌(방어구) (품질 90기준),품질 90 기준으로 업그레이드 성공에 들어가는 기대비용
고결한 혼돈의 돌(방어구) (품질 95기준),품질 95 기준으로 업그레이드 성공에 들어가는 기대비용
고대 팔찌 (지옥),
공명의 기운 회복 비약,1720 네프타 2작전 보상 기대값
광택시약,인게임 내 가격 기준
도약의 정수,인게임 내 가격 기준
순환 돌파석,특수 재련 효율 페이지 참조 (상위 5개 평균값)
어빌리티 스톤 키트 (지옥),상점 가격 100골드 기준 + 페온 9개
염색시약,인게임 내 가격 기준
영웅 지옥 열쇠 I,지옥1 6단계 기대값
영웅 지옥 열쇠 II,지옥2 6단계 기대값
영웅 지옥 열쇠 III,지옥3 6단계 기대값
요즈의 항아리 : 영원,인게임 내 가격 기준
전설 나락의 서리 열쇠 I,나락1 2단계 기대값
전설 나락의 서리 열쇠 II,나락2 2단계 기대값
전설 나락의 서리 열쇠 III,나락3 2단계 기대값
전설 나락의 화염 열쇠 I,나락1 2단계 기대값
전설 나락의 화염 열쇠 II,나락2 2단계 기대값
전설 나락의 화염 열쇠 III,나락3 2단계 기대값
전설 지옥 열쇠 I,지옥1 7단계 기대값
전설 지옥 열쇠 II,지옥2 7단계 기대값
전설 지옥 열쇠 III,지옥3 7단계 기대값
전설 카드 선택팩,
전설~고급 카드팩,
전설~영웅 카드팩,
전설~희귀 카드팩,
전체 카드팩,
정련된 운명의 돌,
정련된 혼돈의 돌(무기),
정련된 혼돈의 돌(방어구),
정련된 혼돈의(무기),
정련된 혼돈의(방어구),
젬 가공 초기화권,인게임 내 가격 기준
중급 생기 회복물약,인게임 내 가격 기준
초급 생기 회복물약,인게임 내 가격 기준
크리스탈,화폐거래소 크리/골드 환율 기반
패턴시약,인게임 내 가격 기준
페온,인게임 내 가격 기준
펫 효과 / 지원효과 14일,인게임 내 가격 기준
펫 효과 / 지원효과 30일,
휴식 게이지 회복 비약,1720 네프타 2작전 보상 기대값
희귀 지옥 열쇠 I,지옥1 5단계 기대값
희귀 지옥 열쇠 II,지옥2 5단계 기대값
희귀 지옥 열쇠 III,지옥3 5단계 기대값
메넬리크의 서,프레스티지 샵의 다른 항목 가치와 상대 비교
실링,프레스티지 샵의 다른 항목 가치와 상대 비교
영겁의 정수,프레스티지 샵의 다른 항목 가치와 상대 비교
영혼의 잎사귀,프레스티지 샵의 다른 항목 가치와 상대 비교
카드경험치 1당,메넬리크의 서 가치 / 9000
태초의 조각,프레스티지 샵의 다른 항목 가치와 상대 비교
1레벨 보석 (4T),
8레벨 보석 (4T),
고급 젬,고급 젬 6종 거래소 평균
빙하의 숨결,
아비도스 융화 재료,
야금술 : 업화 [11-14],
야금술 : 업화 [15-18],
야금술 : 업화 [19-20],
에브니 큐브 입장권 (1해금),에브니 큐브 보상 기대값 참조
에브니 큐브 입장권 (2해금),에브니 큐브 보상 기대값 참조
에브니 큐브 입장권 (3해금),에브니 큐브 보상 기대값 참조
에브니 큐브 입장권 (4해금),에브니 큐브 보상 기대값 참조
에브니 큐브 입장권 (1해금) (지옥교환),전설 지옥 열쇠 I 교환 기준
에브니 큐브 입장권 (2해금) (지옥교환),전설 지옥 열쇠 I 교환 기준
에브니 큐브 입장권 (3해금) (지옥교환),전설 지옥 열쇠 II 교환 기준
에브니 큐브 입장권 (4해금) (지옥교환),전설 지옥 열쇠 III 교환 기준
영웅 젬,영웅 젬 6종 거래소 평균
용암의 숨결,
운명의 돌파석,
운명의 수호석,
운명의 파괴석,
운명의 파편 1개당,
운명의 파편 주머니(대),
운명의 파편 주머니(소),
운명의 파편 주머니(중),
유물 각인서 랜덤,유물 각인서 거래소 평균
유물 각인서 선택,유물 각인서 중 최고가 항목
장인의 야금술 : 1단계,
장인의 야금술 : 2단계,
장인의 야금술 : 3단계,거래소에 미구현
장인의 야금술 : 4단계,거래소에 미구현
장인의 재봉술 : 1단계,
장인의 재봉술 : 2단계,
장인의 재봉술 : 3단계,거래소에 미구현
장인의 재봉술 : 4단계,거래소에 미구현
재봉술 : 업화 [11-14],
재봉술 : 업화 [15-18],
재봉술 : 업화 [19-20],
희귀 젬,희귀 젬 6종 거래소 평균
장인의 야금술 : 3단계 (실제가치),상재 시뮬레이션을 통해 투입 시 실제 효용가치를 계산 (전체턴 평균)
장인의 야금술 : 4단계 (실제가치),상재 시뮬레이션을 통해 투입 시 실제 효용가치를 계산 (전체턴 평균)
장인의 재봉술 : 3단계 (실제가치),상재 시뮬레이션을 통해 투입 시 실제 효용가치를 계산 (전체턴 평균)
장인의 재봉술 : 4단계 (실제가치),상재 시뮬레이션을 통해 투입 시 실제 효용가치를 계산 (전체턴 평균)
